objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
yppc_112,The Golden Goose,"Stephens, Jeffryn",1983,"The youngest of three is gifted a golden goose after an act of kindness. As they carry it home, people keep trying to pluck a golden feather from the goose and find themselves stuck.",04-10,9,,,YPPC,,There are multiple versions of this script.,17,FALSE,FALSE,TRUE,Based on the fairy tale The Golden Goose.,11,1,4,6,TRUE
yppc_113,The Honorable Urashima Taro,"Jennings, Coleman A.",1999,"A young fisherman rescues a venerable turtle from its tormentors. As a reward, he is taken to an undersea wonderland where he wins the favor of the princess and saves her kingdom from destruction by the wicked scorpion. The fisherman becomes a prince; years pass unnoticed; his village wife and children are driven from his mind. But still the homesick prince longs for the changing seasons of his village and begs the princess to let him go back. The fisherman/prince thinks that he's only been gone for a few days, but on his return to land, he makes the shattering discovery that many, many years have passed. The turtle calls to him that he can still return to the underwater world and to eternal youth but now he must make his choice",08-14,32,,,Dramatic Publishing,,,7,FALSE,TRUE,FALSE,,17,6,3,8,TRUE
yppc_114,"Ijapa, the Tortoise: Two Tales from Nigeria","Winther, Barbara",1976,"Shrewd but lazy tortoise steals food from villagers, getting so greedy, until he is tricked and caught. A lazy toroise is foiled by bush spirits.",04-12,11,,,"Plays, Inc.",,,17,FALSE,FALSE,TRUE,Based on two Nigerian folktales: The Dancing Palm and The Bush Spirit.,9,6,3,0,TRUE
yppc_115,Jack and the Beanstalk,"Bridge, Dan",Unknown,"Jack and the Beanstalk set in Durham, but where the ogre doesn't die and instead builds Northgate Mall.",04-12,11,,,Little Big Theater,,,1,FALSE,TRUE,TRUE,Adaptation of Jack and the Beanstalk,8,1,3,4,FALSE
yppc_116,Gigi,"Loos, Anita",1950,"In the elegant atmosphere of Paris in the 1890s, a wealthy and handsome aristocrat named Gaston falls for Gigi, a young and innocent girl raised to be a courtesan.",14-18,27,,,Concord Theatricals,,,4,FALSE,TRUE,TRUE,Based on a novel by Colette.,8,5,3,0,TRUE
yppc_117,The Girl in the Coffin,"Dreiser, Theodore",1917,"One of the first labor dramas, a mill foreman loses his daughter and a strike leader loses his love.",12-18,20,,,Unknown,,,3,FALSE,FALSE,FALSE,,7,4,3,0,FALSE
yppc_118,The Girl Whose Fortune Sought Her,"Clapp, Patricia",1985,"Seeking something big to do with her life, young girl finds her fortune is growing right in front of her.",08-12,12,,,Unknown,,"From Children's plays from favorite stories : royalty-free dramatizations of fables, fairy tales, folk tales, and legends
 by Kamerman, Sylvia E.",1,FALSE,TRUE,FALSE,,6,1,3,2,FALSE
yppc_119,The Glass Menagerie,"Williams, Tennessee",1944,"From her cramped St. Louis apartment, Amanda Wingfield dreams of her days as a Southern debutante while worrying about the future of her aimless son Tom and unmarried daughter Laura. With their father absent and the Great Depression in motion, the siblings find comfort in their foibles — alcohol, movies and writing for Tom and a collection of glass animals for Laura — which only heightens Amanda’s anxiety. When a gentleman caller arrives for dinner, the Wingfields are flooded with hope. But it’s unclear if his presence will change things for the better or shatter their fragile illusions.",12-18,58,,,Concord Theatricals,,This is only scene 3; it is in a folder with Act 2 of The Crucible.,1,FALSE,TRUE,FALSE,,4,2,2,0,FALSE
yppc_120,God (A Comedy in One Act),"Allen, Woody",1975,"Set in an empty Greek amphitheater, this mad play within a play switches back and forth between ancient Athens and modern Broadway. A Greek actor and a writer are discussing how to end a play. Actors, including Doris Levine from Great Neck, Blanche DuBois, and Groucho Marx, pop out of the audience. Peppered with metaphysical and philosophical questions, the play skids along farcically until the actor and writer conclude that it lacks a beginning as well as an end.",12-18,54,,,Concord Theatricals,,,1,FALSE,TRUE,FALSE,,28,20,8,0,FALSE
yppc_121,The Gods of the Mountain,"Dunsany, Lord",1911,"“The Gods of the Mountain” tells the morality tale of beggars turned thieves who disguise themselves as the gods of a certain town wherein reside seven jade idols representing the local gods, and the consequences of hubris, greed, and the audacity of challenging said gods.",08-18,25,,,Unknown,,,2,FALSE,FALSE,FALSE,,10,0,0,10,TRUE
yppc_122,The Good Doctor,"Simon, Neil",1973,"This Broadway hit, a composite of Neil Simon and Anton Chekhov, consists of a series of comic vignettes narrated by “The Writer.” In one sketch, a feisty old woman storms a bank and upbraids the manager for his gout and lack of money. In another, a father takes his son to a house to initiate him into the mysteries of sex, only to relent at the last moment and leave the boy more perplexed than ever. In another sketch, a crafty seducer goes to work on a wedded woman, only to realize that the woman has been in command from the first overture. And let us not forget the classic tale of a man who offers to drown himself for three rubles. The stories are droll, the portraits affectionate, the humor infectious and the fun unending.",14-18,107,,,"Samuel French, Inc.","Also located in the folder labeled ""Night of the Slaughtered Chicken"".",,5,TRUE,TRUE,TRUE,Adapted from and suggested by stories by Anton Chekhov.,5,3,2,0,TRUE
yppc_123,The Goodbye Girl,"Simon, Neil",1993,"New York dancer Paula McFadden and her 12-year-old daughter Lucy find themselves abandoned by Paula's most recent lover, Tony. Left with $400 of debt, they cancel their travel plans and decide to stay in their Upper West Side apartment. Unfortunately, Tony arranged for a subletter: eccentric actor Elliot Garfield, who claims a right to occupy the apartment. Can Paula, Lucy and Elliot learn to coexist in a cramped New York brownstone? Despite a rocky start and some hilarious complications, Paula and Elliot find love, and Lucy finally approves of the man in her mother's life.",12-18,98,,,Concord Theatricals,,,1,TRUE,TRUE,TRUE,Based on the 1977 film The Goodbye Girl.,24,9,12,3,TRUE
yppc_124,"Goodbye, Howard","Linney, Romulus",1968,"Set in a North Carolina hospital, where three aging (and rich) spinster sisters wait for news of their brother’s death. They are worried about how their mother (who must be 100) will react to the sad tidings an eventuality which is ameliorated by the intrusion of a brash young man who seems to lack the proper respect for the aged, and the dying.",10-18,13,,,Dramatists Play Service Inc.,,,1,FALSE,TRUE,FALSE,,6,2,4,0,TRUE
yppc_125,The Grass Harp,"Elmslie, Kenward",1971,"This story tells of Dollyheart, a sweet-natured spinster with a secret recipe for an elixir cure, and her demanding sister, Verena, who is determined to exploit the recipe for her own purposes. When tensions rise, Dollyheart leaves her sister's house with their orphaned teenage nephew Colin and housekeeper Catherine to take up residence in a tree house. It isn't long before other outcasts join their extended family, including the revivalist Babylove and the children who comprise her Miracle Show, and the dearly eccentric Judge Cool. The deep emotional currents of these shifting relationships lead to an uplifting, compelling reconciliation.",08-18,12,,,Concord Theatricals,,This does not appear to be the complete play. These copies need preservation work.,2,TRUE,TRUE,TRUE,Based on the novel by Truman Capote,14,7,7,0,FALSE
yppc_126,The Groom's Ghost,"Irving, Washington",1980s,"A groom is murdered on the way to his wedding. While his friend tries to deliver the bad news, he is so entranced with the bride that he does not speak. As the wedding continues, the man becomes more and more upset. Finally he insists on leaving, telling the lord of the house that he cannot stay because he has an appointment the next morning at his own funeral.",08-18,8,,,Unknown,,,8,FALSE,TRUE,TRUE,Based on the Washington Irving story The Spectre Bridegroom,11,2,4,5,TRUE
yppc_127,It's Greek to Us,"Stephens, Jeffryn",1984,"A series of three short Greek myths, including Pandora's Jar, Admetus and Alcestis, and Baucis and Philemon.",04-10,9,,,YPPC,,"In the back of the folder, following curriculum materials.",2,FALSE,FALSE,TRUE,Based on Greek mythology.,17,4,6,7,FALSE
yppc_128,Halfway up the Tree,"Ustinov, Peter",1967,"This timely satire on the everlasting generation gap is not content to dally with the problem, but boldly thrusts on by having the older generation beat the younger at its own game. It begins with the return from middle east duty of a general who finds he hardly recognizes his children. His son has embraced the new cult of the moment and his daughter is enceinte by persons unknown. Rather than rant and rave, the general looks into the matter. And, by george, he even adapts to it. The children protest that he is aping them and trying to shame them into going back into society; but no, he is in earnest as he climbs a tree and elevates the cult to new realms. Soon, everybody wants a tree to climb into.",10-18,115,,,"Samuel French, Inc.",,,2,FALSE,TRUE,FALSE,,9,5,4,0,FALSE
yppc_129,The New Broom,"Hark, Mildred",1955,"A family is house hunting, and tours a house that is haunted. One of the daughters likes the spooky atmosphere, so she stays behind to clean up and overhears a coven of witches planning some Halloween mischief.",04-10,11,,,"Boston Plays, Inc.",,"Published as Junior Plays for all Occasions, A Collection of Royalty-Free, One-Act Plays for Children by Mildred Hark (edited by Noel McQueen). Contained in a folder titled ""Halloween Plays""",2,FALSE,FALSE,FALSE,,10,3,3,4,FALSE
yppc_130,Spooks in Books,"Hark, Mildred",1955,A group of children stays at the library past closing on Halloween. Ghosts and ghouls start to emerge from the books.,04-10,12,,,"Boston Plays, Inc.",,"Published as Junior Plays for all Occasions, A Collection of Royalty-Free, One-Act Plays for Children by Mildred Hark (edited by Noel McQueen). Contained in a folder titled ""Halloween Plays""",2,FALSE,FALSE,FALSE,,9,2,1,6,TRUE
yppc_131,The House is Haunted,"Hark, Mildred",1955,"A group of children are preparing for a Halloween party, but it turns out their house is haunted by an old man. Their mother is skeptical about the ghost, and the spooky noises turn out to be the father.",04-10,12,,,"Boston Plays, Inc.",,"Two copies of this are versions that were adapted by Jeffryn Stephens. Published as Junior Plays for all Occasions, A Collection of Royalty-Free, One-Act Plays for Children by Mildred Hark (edited by Noel McQueen). Contained in a folder titled ""Halloween Plays""",4,FALSE,FALSE,FALSE,,11,5,5,1,TRUE
yppc_132,Hanky Spanky Skiddeldy Doo: A Fantasy for Children,"Donavan, William",1972,"A fairy tale similar to Toads and Diamonds. A girl is oppressed by her stepmother and stepsister, then lost in the woods. Her only friend, a sunflower, plots to get her back. Meanwhile, the girl is kind to the creatures she meets in the woods and makes friends who help her.",04-12,68,,,University of North Carolina at Chapel Hill,,This was submitted by William C. Donavan as their thesis for an MA in the Department of Dramatic Art in 1972.,2,FALSE,TRUE,FALSE,,13,1,4,8,TRUE
yppc_133,Guys and Dolls Jr.,"Burrows, Abe",1950,"Guys and Dolls JR. follows gambler, Nathan Detroit, as he tries to find the cash to set up the biggest crap game in town while the authorities breathe down his neck. Meanwhile, his girlfriend and nightclub performer, Adelaide, laments that they've been engaged for fourteen years without ever getting married. Nathan turns to fellow gambler, Sky Masterson, for the dough, but Sky ends up chasing the straight-laced missionary, Sarah Brown. Guys and Dolls JR. takes us from the heart of Times Square to the cafes of Havana, but everyone eventually ends up right where they belong.",04-16,87,,,Music Theater International,,"There is only one script, which appears to be fragmentary, and a workbook.",1,TRUE,TRUE,TRUE,Adapted from Guys and Dolls by Damon Runyon.,14,10,3,1,TRUE
yppc_134,"Happy Birthday, Wanda June (Act 1 only)","Vonnegut, Jr., Kurt",1970,"A woman with a little boy has two suitors: a doctor and a vacuum cleaner salesman. Her husband, a famous big-game hunter and adventurer, disappeared years ago in the Amazon. She is about to be declared a widow when in he walks, khaki breeches, puttees, and all, together with the pilot with whom he crashed in the Amazon valley. It happens to be his birthday, an event which all those present had decided to celebrate and for which they had just purchased a cake on the spur of the moment. The cake had been intended for somebody named Wanda June, who apparently never got to celebrate at all. The adventurer turns out to be a wild champion of havoc who alienates friends and demolishes violins. He fails in his effort to get his son to shoot him – the boy doesn’t believe in that kind of old-fashioned heroism – and then in his own effort to shoot himself. He is a social flop out.",12-18,27,,,"Samuel French, Inc.",,,4,FALSE,TRUE,FALSE,,9,5,2,2,FALSE
yppc_135,The Happy Journey to Trenton and Camdel,"Wilder, Thornton",1931,"Almost the entire play takes place during an automobile journey from Newark to Camden, New Jersey by a family on their way to visit a married daughter, who has recently lost a baby in childbirth. Very little happens, but the father, mother, and children reminisce, joke, and sightsee and somehow, in classic Thornton Wilder fashion, capture something of the universal joy and sadness of life as they motor along.",12-18,22,,,Unknown,,,3,FALSE,TRUE,FALSE,,6,2,3,1,FALSE
yppc_136,Harlequinade,"Rattigan, Terence",1948,One of two Shakespearean ham actors touring the provinces has a dubious and shady past. Presented on Broadway with The Browning Version,12-18,44,,,"Samuel French, Inc.",,,12,FALSE,TRUE,FALSE,,14,9,5,0,FALSE
yppc_137,Harvey,"Chase, Mary",1944,"Elwood P. Dowd insists on including his friend Harvey in all of his sister Veta’s social gatherings. Trouble is, Harvey is an imaginary six-and-a-half-foot-tall rabbit. To avoid future embarassment for her family—and especially for her daughter, Myrtle Mae—Veta decides to have Elwood committed to a sanitarium. At the sanitarium, a frantic Veta explains to the staff that her years of living with Elwood’s hallucination have caused her to see Harvey also, and so the doctors mistakenly commit her instead of her mild-mannered brother. The truth comes out, however; Veta is freed, and the search is on for Elwood, who eventually arrives at the sanitarium of his own volition, looking for Harvey. But it seems that Elwood and his invisible companion have had a strange influence on more than one of the doctors. Only at the end does Veta realize that maybe Harvey isn’t so bad after all.",08-18,71,,,Dramatists Play Service Inc.,,,8,FALSE,TRUE,FALSE,,12,6,6,0,FALSE
yppc_138,Heidi,"Rogers, June Walker",1969,"At the opening we find Heidi happy in her mountain home, adored by her grandfather, and busy with his goat, Snowflake. Then suddenly, Aunt Dete arrives bringing with her the unpleasantness of the outside world and whisking Heidi off to Frankfort and the clutches of Miss Rottenmeier. Many of Heidi’s exciting adventures are faithfully retold in this fast moving story. Heidi’s poignant reunion with her grandfather concludes the play in a most satisfying manner.",04-12,45,,,Dramatic Publishing,,,1,FALSE,TRUE,TRUE,Based on the Johanni Spyri novel.,12,3,9,0,FALSE
yppc_139,The Heidi Chronicles,"Wasserstein, Wendy",1988,"Comprised of a series of interrelated scenes, the play traces the coming of age of Heidi Holland, a successful art historian, as she tries to find her bearings in a rapidly changing world. Gradually distancing herself from her friends, she watches them move from the idealism and political radicalism of their college years through militant feminism and, eventually, back to the materialism that they had sought to reject in the first place. Heidi's own path to maturity involves an affair with the glib, arrogant Scoop Rosenbaum, a womanizing lawyer/publisher who eventually marries for money and position; a deeper but even more troubling relationship with a charming, witty young pediatrician, Peter Patrone, who turns out to be gay; and increasingly disturbing contacts with the other women, now much changed, who were a part of her childhood and college years. Eventually Heidi comes to accept the fact that liberation can be achieved only if one is true to oneself, with goals that come out of need rather than circumstance. As the play ends she is still ""alone,"" but having adopted an orphaned baby, it is clear that she has begun to find a sense of fulfillment and continuity that may well continue to elude the others of her anxious, self-centered generation.",14-18,114,,,Dramatists Play Service Inc.,,,4,TRUE,TRUE,FALSE,,8,3,5,0,FALSE
yppc_140,The Hobbit,"Stephens, Jeffryn",1990,"The Hobbit is set within Tolkien's Middle-earth and follows the quest of home-loving Bilbo Baggins, the titular hobbit, to win a share of the treasure guarded by a dragon named Smaug. Bilbo's journey takes him from his light-hearted, rural surroundings into more sinister territory.",04-14,68,,,YPPC,,"This has been changed from the book very little, and has a lot of direct quotes. The Tolkien estate tends to be litigious, so erring on the side of caution until the copyright expiresin 2032 might be a good idea with this one.",6,TRUE,FALSE,TRUE,Adapted from JRR Tolkien's The Hobbit.,45,4,0,41,TRUE
yppc_141,The Hollow,"Christie, Agatha",1951,"An unhappy game of romantic follow-the-leader explodes into murder one weekend at The Hollow, home of Sir Henry and Lucy Angkatell. Dr. Cristow is at the center of the trouble when his mistress Henrietta, ex-mistress Veronica, and wife Gerda, simultaneously arrive at The Hollow. Add a protective butler, throw in a couple cousins, and you have a classic whodunnit. Try to beat the inspector to figure out who the killer is!",10-18,105,,,"Samuel French, Inc.",,,4,FALSE,TRUE,TRUE,Adapted from Agatha Christie's novel The Hollow.,12,6,6,0,FALSE
yppc_142,The House of Bernarda Alba,"Garcia Lorca, Federico",2007,"Forced to live under their mother’s tight grip as they mourn their father’s death, can five sisters survive when young Adela dares for passion and freedom?",16-18,54,,,A.S. Kline,,,3,FALSE,TRUE,TRUE,Translation of Federico Garcia Lorca's final play.,10,0,10,0,FALSE
yppc_143,Hunting Cockroaches,"Glowacki, Janusz",1985,"An off beat comedy about a contemporary immigrant couple from Poland who are having a hard time in their strange new country. Anka, a well known actress in Warsaw, can't get work because of her accent; Jan, a writer, is struggling with writer's block. As they try to get some sleep, flash backs bring characters from their past crawling from beneath the bed.",12-18,11,,,Concord Theatricals,,,1,FALSE,TRUE,FALSE,,9,2,2,5,FALSE
yppc_144,I Didn't Know That!,"Saldaña, Johnny",1980,"I Didn't Know That! is a lighthearted revue of first facts, selected oddities and world records. The Guinness Book of World Records is incorporated in this creative and exciting new comedy for children. I Didn't Know That! presents more than 50 startling facts in a 35-minute, trivia-style revue. Audiences have ""oohed"" and ""ahhed"" in amazement to learn such fascinating facts as the first policewoman, the origins of superstitions and the world records for leapfrogging, sneezing and egg laying. Rapid-fire sketches and songs plus total reliance on ensemble acting make this comedy both simple and challenging to stage—and a world winner with young audiences.",08-14,28,,,Dramatic Publishing,,,5,FALSE,TRUE,FALSE,,5,2,2,1,FALSE
yppc_145,I Never Saw Another Butterfly: Children’s Poems and Drawings from Terezin Concentration Camp 1942 - 1944,"Raspanti, Celeste",1994,"Over 15,000 children passed through the gates of Terezin, a concentration camp 30 miles north of Prague. Fewer than 100 survived. I Never Saw Another Butterfly, tells the story of the children of Terezin through the eyes of Raja Englandrova. Raja narrates and tells their story in flashbacks as she learns from Irena Synkova, a teacher who gives the children hope when there is no hope left and gives them the courage to write and draw about their experiences. We see the world of Terezin through their eyes, a world of laughter, of flowers, and of butterflies. From behind the barbed wire fences, teachers and students were able to show defiance; by learning even when it was forbidden, by drawing pictures of life as well as of death, and by writing poems about something bright and colorful they may have caught a glimpse of. The most famous symbol of hope was a yellow butterfly from a poem written by Pavel Friedman.",12-18,48,,,Dramatic Publishing,,,13,TRUE,TRUE,TRUE,"Based on the book, I Never Saw Another Butterfly: Children’s Poems and Drawings from Terezin Concentration Camp 1942 - 1944 that was originally published in 1964",13,4,7,2,TRUE
yppc_146,I Remember Mama,"Van Druten, John",1944,"Mama, with the help of her husband and Uncle Chris, brings up the children in their modest San Francisco home during the early years of the 20th century. Mama, a sweet and capable manager, sees her children through childhood, manages to educate them, and helps one of her daughters begin her career as a writer. Mama's sisters and uncle furnish a rich background for a great deal of comedy and a little incidental tragedy, while the doings of the children keep everyone in pleasant turmoil.",08-18,173,,,"Samuel French, Inc.",,Some scripts may be fragmentary; some acts are physically separated.,7,FALSE,TRUE,TRUE,,22,9,13,0,FALSE
yppc_147,The Ice Wolf,"Kraus, Joanna H.",1991,"From the East Coast Hudson Bay Inuits comes an exciting, authentic tale of a pale-haired child, exiled by her own people because she was ""Anatou—the different one."" In a village ruled by spirits, shamans, superstition and myth, such a different one has no place. During a famine, her parents disappear in a storm, and Anatou is cast out by the community. She seeks out the forest, into which no Inuit goes, and begs the Wood God to turn her into a wolf.",04-18,37,,,Dramatic Publishing,,,11,FALSE,TRUE,TRUE,Based on East Coast Hudson Bay Inuit mythology.,15,8,7,0,TRUE
yppc_148,"If You Don't Like My Ocean, Don't Fish in My Sea","Ranson, Rebecca",1977,"Three women talk about their lives, men, and despair.",16-18,25,,,Pocket Theater,,"This is obviously a draft, and as such is fragmentary and in incredibly rough shape. The material is also probably not suited for a children's theater. If anyone is interested in seeing a less fragmentary copy, one exists in the archives of the North Carolina Collection at Durham County Library.",1,TRUE,TRUE,FALSE,,3,0,3,0,FALSE
yppc_149,The Imaginary Invalid,"Moliere,",1673,"In Molière’s outrageous satire of medicine and its practitioners, the wealthy Argan, to put it mildly, enjoys poor health. Laxatives, suppositories, bloodlettings, and second and third opinions from the leading quacks are the order of his day—and hell on his wily, back-talking servant Toinette. His daughter Angélique is in love with the impoverished Cléante, but Argan wants to marry her to Thomas Diafoirus, a medical dunce who can assure his father-in-law a lifetime of health care. Cléante disguises himself as a music teacher to gain access to his love, but Béline, Argan’s mercenary second wife, threatens to expose them. A disguised Toinette, sage advice from his brother Béralde, and a faked death scene finally teach Argan where to place his trust. The play ends with Argan’s ceremonious, pig–Latin induction into the medical profession.",10-18,11,,,Unknown,,,6,FALSE,FALSE,FALSE,,11,7,4,0,FALSE
yppc_150,The Importance of Being Earnest,"Wilde , Oscar",1895,"The Importance of Being Earnest tells the story of Jack Worthing and Algernon Moncrieff who use clever deception and truth-bending to accommodate their social pursuits. Jack bends the truth to include an imaginary brother, Ernest, whom he uses as an excuse to escape from the country to party among urban socialites, while urbane Algernon uses a similar technique (Bunburying) that provides him opportunities for taking adventures in the country. Of course, courting and liaisons ensue, but not without complications. Oscar Wilde builds a farcical—albeit realistic—world of Victorian social mores by using double entendre, aphorisms, and witty repartee.",08-18,60,,,Unknown,,,3,FALSE,FALSE,FALSE,,9,5,4,0,FALSE
yppc_151,In a Room Somewhere,"Zeder, Suzan L.",1988,"Suddenly, five adults find themselves in a room somewhere; a room with no windows, no doors and only the vastness of space where the ceiling ought to be. When they begin to find relics from their own childhoods, they discover that the only way out of the room is to journey through their own pasts. This powerful play of great humor, warmth and emotional intensity is the result of a three-year collaboration between this award-winning playwright and the gifted Metro Theatre Circus ensemble. It breaks new ground in the theatre for young audiences.",10-14,70,,,Dramatic Publishing,,,1,TRUE,TRUE,FALSE,,5,3,2,0,FALSE
yppc_152,The Incarceration of Annie,"Ranson, Rebecca",1983,"A monologue from Annie, who reflects on how life continues to happen while she is in prison.",16-18,15,,,Pocket Theater,,,1,FALSE,TRUE,FALSE,,1,0,1,0,FALSE
yppc_153,The Indian Captive,"Chorpenning, Charlotte B.",1954,"The Indian Captive is a dramatic incident taken from the actual history of the Seneca Indians. A little pioneer girl is captured by Indians and taken to their camp by Chief Cornplanter. At the Indian camp she is regarded with distrust, and there is a gripping and dramatic scene where her courage is tested by fire. When her spirit proves firm, she is adopted with high ceremony into the Seneca tribe. The Senecas teach her their ways and customs and grow to love her—so much, that when Eleanor's mother comes to seek her, they disguise Eleanor and threaten to kill her mother if the child makes any sign of recognition. There is a tense scene where Eleanor keeps faith with the Indians while longing to make some sign of love to her mother. Chief Cornplanter finally realizes that her happiness lies with her own people, and with a heavy heart he lets her go.",08-14,28,,,Dramatic Publishing,,,7,FALSE,TRUE,FALSE,,10,5,5,0,FALSE
yppc_154,The Inn of Discontent,"Wilde, Percival",1924,Strangers meet and converse at an inn.,10-18,42,,,Unknown,,,2,FALSE,FALSE,FALSE,,8,0,2,6,FALSE
yppc_155,An Inspector Calls,"Priestley, J.B.",1945,A wealthy family are interrupted in their peace and happiness while celebrating their daughter's engagement by the unexpected arrival of a police inspector. His interruption drastically changes the situation in the family and affects the conscience of all those present at the family gathering.,12-18,64,,,Unknown,,,6,FALSE,TRUE,FALSE,,6,3,2,1,FALSE
yppc_156,Into the Woods,"Sondheim, Stephen",1986,"The story follows a Baker and his wife, who wish to have a child; Cinderella, who wishes to attend the King's Festival; and Jack, who wishes his cow would give milk. When the Baker and his wife learn that they cannot have a child because of a Witch's curse, the two set off on a journey to break the curse. Everyone's wish is granted, but the consequences of their actions return to haunt them later with disastrous results.",08-18,189,,,Music Theater International,,,1,TRUE,TRUE,TRUE,Based on several fairy tales.,18,7,11,0,FALSE
yppc_157,Juliet in Mantua,"Nathan, Robert",1965,"What might have happened if ROMEO AND JULIET hadn't met their untimely death but instead continued their infamous love affair? The once passionate lovers have lost their bliss, and their fairy tale romance has taken a back seat to the tedious day-to-day challenges that all relationships must endure. The MONTAGUES and CAPULETS are back, as well as the NURSE and FRIAR LAURENCE. Despite it all, our romantic duo eventually finds the way back to each other's arms.",12-18,108,,,Unknown,,,3,FALSE,TRUE,TRUE,Based on Romeo and Juliet,16,6,5,5,TRUE
yppc_158,Jungalbook,"Mast , Edward",1991,"Adventure awaits in a jungle where danger lurks in every tree and only the brave dare enter! This energetic and creative version of the classic tale ignites the imagination and propels the audience through a world ruled by the wild. When his parents are killed by Sherakhan, the young boy Mowgli is raised by wolves, under the protection of his friends Bagheera and Baloo. In this tale of loyalty and betrayal, Mowgli must find the courage to face this challenge and choose his fate under consequences of jungle law.",08-14,59,,,"Anchorage Press, Inc.",,,2,FALSE,TRUE,TRUE,Based on Kipling's The Jungle Book.,13,1,0,12,TRUE
yppc_159,King of Hearts,"Tesich, Steve",1978,"Set in the fictional French town of DuTemps in September 1918, shortly before the end of World War I, its protagonist is Private Johnny Perkins, whose mission is to defuse a bomb intended to destroy the entire village. All the local residents have fled, leaving behind only the cheerful inmates of the insane asylum, who happily take over the town and proclaim Johnny their King of Hearts. The show raises the question of who is more insane, the asylum's patients or those who wage war.",12-18,85,,,Watchfire Music,,,2,TRUE,TRUE,FALSE,,13,9,4,0,TRUE
yppc_160,King of Kazoo,"Peck, Robert Newton",1976,"A cowpuncher, a plumber, and a drummer set off the see the King of Kazoo in search of their hearts' desires: a purple cow, a sink to fix, and a drum.",08-14,81,,,"Alfred A. Knopf, Inc.",,,4,TRUE,TRUE,TRUE,Adapted from the storybook King of Kazoo. The author notes that it can be performed.,8,1,1,6,TRUE
yppc_161,The King Who Couldn't be Fooled,"Elfenbein, Josef A.",1985,A young man fools a king and marries the princess with the help of a magic wishing hat.,04-10,16,,,"Boston Plays, Inc.",,"Found in Children's Plays from Favorite Stories: Royalty-Free Dramatizations of Fables, Fairy Tales, Folk Tales, and Legends, edited by Sylvia E. Kamerman",2,FALSE,FALSE,FALSE,,9,4,4,1,FALSE
yppc_162,Kiss Me Kate,"Porter, Cole",1948,The battle of the sexes takes center stage as former spouses feud onstage and off during a musical presentation of The Taming of the Shrew.,12-18,76,,,Tams-Witmark,,,4,TRUE,TRUE,TRUE,Adapted from William Shakespeare's The Taming of the Shrew.,10,7,3,0,TRUE
yppc_163,The Knighting of Percival,"Lansing, Marion Florence",1914,"A group of Arthur's knights meet Perceval in the woods. Enamored, he follows them to Camelot to ask if he can become a knight. He goes on a quest to show his worthiness.",08-14,22,,,George L. Shuman and Co.,,From Our Wonder World: A Library of Knowledge in Ten Volumes published in 1914.,29,FALSE,FALSE,TRUE,Adapted from Arthurian legends.,15,9,3,3,FALSE
yppc_164,The Land of the Dragon: A Chinese Fantasy,"Miller, Madge",1946,"Princess Jade Pure is held practically captive by her jealous scheming step-aunt and her chancellor. Road Wanderer, a minstrel, passing through the country with his pet dragon, learns of her plight and rescues her, but disappears when she seems to him thoughtless and unkind. Making an effort to find him, Jade Pure decrees that the man she marries must have a pet dragon, and in the next scene two false dragons arrive, awkwardly practicing dragon ways, and scrambling for safety when they catch a glimpse of each other. Road Wanderer escapes from captivity just in time to save Jade Pure from a fatal marriage.",08-12,56,,,"The Anchorage Press, Inc.",,,6,FALSE,TRUE,FALSE,,8,3,5,0,TRUE
yppc_165,Lady Rosa: A Comedy Drama,"Merritt, Maud",Unknown,"Set in New York, late afternoon, September 1944. Three roommates are getting ready to meet one of their soon-to-be mothers-in-law. They’re running all over the place to ensure that they will present well to this mysterious Lady Rosa. But how will they react when they discover she isn’t who they thought she was?",08-14,15,,,Unknown,,This was copied from a book.,4,FALSE,TRUE,FALSE,,5,0,5,0,FALSE
yppc_166,The Rising of the Moon,"Persse, Lady Gregory, Isabella Augusta",1907,"On a moonlit night, three Irish policemen gather at the quayside in a small, seaport town. Ireland is under British rule and the policemen are in the service of the British government. They put up posters for an escaped prisoner who is fighting for Irish independence. Convinced that the escaped rebel might creep to the water's edge to be rescued by sea, they all hope to capture him for the hundred-pound reward and a potential promotion. Left alone on watch, the Sergeant meets a ragged man who purports to be a ballad singer. They begin to talk and their conversation drifts to the past and moments in the Sergeant’s youth when he could have turned against British rule. The ragged man is revealed to be the convict he has been looking for, but the Sergeant has been moved by their discussion and memories of his own patriotic youth. He decides to let the prisoner escape and forgo the financial reward.",08-14,5,,,Unknown,,"Filed in the folder ""Lady Gregory"", as there is a short biographical sketch of her that has been copied on the first couple of pages of the script.",1,FALSE,FALSE,FALSE,,4,4,0,0,FALSE
yppc_167,Ladies of the Jury,"Ballard, Fred",1929,"In a small town, a jury is selected and a murder trial is held. The dramatic proceedings are amusingly interrupted from time to time by Mrs. Crane, an eccentric juror. When the jurors retire to deliberate, the first ballot is eleven for ""Guilty"" and one ""Not guilty."" Mrs. Crane has her own theories and she will not give in; she knows that capitulation means sending an innocent woman to her death. Two days (and two acts) pass in the jury room as Mrs. Crane has uses unorthodox means to change minds.",12-18,129,,,Concord Theatricals,,"This play enters the public domain January 1, 2025.",1,FALSE,TRUE,FALSE,,22,12,10,0,FALSE
