objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
yppc_63,Cocaine,"King, Pendleton",1916,"Cocaine is an honest portrait of drug abuse, prostitution, and finding love and hope in the quiet hours of the morning when all else seems futile. Joe, a former boxer, and Nora, his frail wife whose illness has incapacitated her from streetwalking, discuss their desperate situation and contemplate giving up entirely. Content warning for discussion of drug use, sex work, and a suicide attempt.",16-18,8,,,Unknown,,,1,FALSE,FALSE,FALSE,,2,1,1,0,
yppc_64,The Colored Museum,"Wolfe, George",1986,"The Colored Museum is a provocative and seriously funny tour of eleven “exhibits”—toxic narratives about Black American experiences. From confrontational to aspirational, morbid to triumphant, Wolfe’s satiric sketches target America’s most pernicious stereotypes of Black culture, looking to retire outdated exhibits and make room for the future.",14-18,9,,,Agency for Performing Arts,,,1,FALSE,TRUE,FALSE,,5,2,3,0,
yppc_65,A Comedy of Good and Evil,"Hughes, Richard",1924,"The central character is a servant of Lucifer, in the shape of a bewitching little wench who is given food and shelter in the humble cottage of a pious and poverty-stricken Welsh rector, the Rev. John Williams. There follows a conflict of good and evil in which this demon child is sorely tempted to betray her trust.",12-18,96,,,"Chatto and Windus, London",,,2,FALSE,FALSE,FALSE,,10,5,5,0,
yppc_66,Corinth House,"Johnson, Pamela",1954,"Set in a private hotel in London. One of its residents is Miss Malleson, a retired headmistress living out the rest of her days. She is visited by an ex pupil, Madge Donnythrope, who sixteen years earlier Miss Malleson disciplined publicly. Madge is determined to get revenge on the headmistress by convincing others she is insane.",10-18,84,,,"Macmillan and Co, Ltd. London",,,3,FALSE,TRUE,FALSE,,7,1,5,1,
yppc_67,Cricket on Hearth,"Stephens, Jeffryn",2002,"John Peerybingle, a slow but honest carrier, lives with his young wife Dot, their baby boy, and their nursemaid Tilly Slowboy. A cricket chirps on the hearth and acts as a guardian angel to the family. One day a mysterious elderly stranger comes to visit and takes up lodging at Peerybingle’s house for a few days. The plot becomes a complex love story that is resolved in time for a festive Christmas.",06-18,43,,,YPPC,,,12,FALSE,FALSE,TRUE,Adapted from the novella by Charles Dickens,10,3,7,0,
yppc_68,Cry Witch,"Miller, Marion",1950,"""Cry Witch"" was based upon the ordeal of Grace White Sherwood, a Princess Anne County (Virginia Beach) woman who was accused of witchcraft by her neighbors in 1706.",14-18,17,,,Unknown,,,3,FALSE,TRUE,TRUE,Based on the ordeal of Grace White Sherwood.,14,7,7,0,
yppc_69,The Crucible,"Miller, Arthur",1952,"Widely considered a masterpiece, this timeless classic challenges American ideas of power, intolerance, and justice. In the Puritan community of Salem, Massachusetts, a servant girl accuses a farmer’s wife of witchcraft. One accusation spirals into many, uncovering a web of bigotry and deceit that changes their lives forever. Among the most produced plays since its 1953 debut, THE CRUCIBLE is both a gripping historical drama and an evergreen parable of contemporary society.",12-18,89,,,Dramatists Play Service Inc.,,,4,FALSE,TRUE,FALSE,,20,10,10,0,
yppc_70,Dark of the Moon,"Richardson, Howard",1942,"This perennial favorite is based on the haunting folk ballad of ""Barbara Allen."" Employing a large cast and imaginative settings in the Smoky Mountains, it recounts the story of John, a strange ""witch boy"" who upon first beholding the beautiful Barbara Allen immediately falls in love. He is given human form to woo and marry her on the condition that she remain true to him. The marriage is consummated and Barbara gives birth to a witch child whom the townspeople destroy in a superstitious frenzy. During a religious revival Barbara is led to betray John thus breaking their spell of love. As she dies, he returns forever to the world of the mountain witches.",14-18,81,,,Concord Theatricals,,,2,TRUE,TRUE,TRUE,Based on the folk song Barbara Allen,22,10,12,0,
yppc_71,Daughters of Hardship,"Ranson, Rebecca",1977,A couple and the hardships they face raising their family in early 1900s Kentucky.,10-18,53,,,Unknown,,,1,FALSE,TRUE,FALSE,,10,6,4,0,
yppc_72,The Day Room,"Delillo, Don",1986,"The play opens in a brightly lit hospital room occupied by two men. One, the amiable Budge, does Tai Chi exercises while trying, without much success, to strike up a conversation with his taciturn roommate, Wyatt. Then, slowly but inexorably, their world begins to spin away from reality as they are visited by a series of fellow patients and hospital staffers, all of whom, it turns out, may not be what they seem. Oddly normal, but also oddly frightening, it is soon apparent that they have strayed in from the psychiatric ward of the adjacent Arno Klein Wing and are all quite mad. In the second act, which is set in the day room of the psychiatric ward, the same performers reappear but with different identities. Some of them, claiming to be actors, transform the room into a tacky motel suite in which a play-within-the-play is to take place; others become tourists searching for the renowned “Arno Klein Theater Company""; and one man, strait-jacketed and tied in a chair, “becomes” a television set. At last Arno Klein himself appears, and proves to be the man (Budge) who started the play. So, in the end, we have come full circle, with appearance and reality, madness and normality, still tantalizingly undefined, and with the growing conviction that all the world may indeed be no more than a stage—and all its inhabitants merely players.",10-18,26,,,Dramatists Play Service Inc.,,,1,FALSE,TRUE,FALSE,,9,6,3,0,
